f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,label
0.73833424,0.7360941,0.72848684,0.7225122,0.7219322,0.7237309,0.74098164,0.42902106,0.09524479,0.12479391,0.029549118,-0.15211357,-0.2053959,1.0,3
0.7360941,0.72848684,0.7225122,0.7219322,0.7237309,0.74098164,0.42902106,0.09524479,0.12479391,0.1164277,-0.00836621,0.010591454,-0.104197785,1.0,3
0.72848684,0.7225122,0.7219322,0.7237309,0.74098164,0.42902106,0.09524479,0.12479391,0.1164277,0.36351156,0.24708387,0.11935883,0.089422256,1.0,3
0.7225122,0.7219322,0.7237309,0.74098164,0.42902106,0.09524479,0.12479391,0.1164277,0.36351156,0.70578164,0.34227008,0.294677,0.19366258,1.0,3
0.7219322,0.7237309,0.74098164,0.42902106,0.09524479,0.12479391,0.1164277,0.36351156,0.70578164,0.85844004,0.15265839,0.24746424,0.24733745,0.0,0
0.7237309,0.74098164,0.42902106,0.09524479,0.12479391,0.1164277,0.36351156,0.70578164,0.85844004,0.91882545,0.060385413,0.1065219,0.18510462,0.0,0
0.74098164,0.42902106,0.09524479,0.12479391,0.1164277,0.36351156,0.70578164,0.85844004,0.91882545,0.9467718,0.027946332,0.044165872,0.080330044,0.0,0
0.42902106,0.09524479,0.12479391,0.1164277,0.36351156,0.70578164,0.85844004,0.91882545,0.9467718,1.0017047,0.05493285,0.041439593,0.047754865,0.0,0
0.09524479,0.12479391,0.1164277,0.36351156,0.70578164,0.85844004,0.91882545,0.9467718,1.0017047,0.99620485,-0.0054997792,0.024716537,0.025793135,0.0,0
0.12479391,0.1164277,0.36351156,0.70578164,0.85844004,0.91882545,0.9467718,1.0017047,0.99620485,1.0095174,0.013312625,0.0039064228,0.020915233,0.0,0
0.1164277,0.36351156,0.70578164,0.85844004,0.91882545,0.9467718,1.0017047,0.99620485,1.0095174,1.005296,-0.004221529,0.004545548,0.0011971056,0.0,0
0.36351156,0.70578164,0.85844004,0.91882545,0.9467718,1.0017047,0.99620485,1.0095174,1.005296,1.0513324,0.046036374,0.020907423,0.018375823,0.0,0
0.70578164,0.85844004,0.91882545,0.9467718,1.0017047,0.99620485,1.0095174,1.005296,1.0513324,1.0590818,0.007749469,0.026892923,0.016521439,0.0,0
0.85844004,0.91882545,0.9467718,1.0017047,0.99620485,1.0095174,1.005296,1.0513324,1.0590818,1.0449915,-0.014090305,-0.003170418,0.0132318465,0.0,0
0.91882545,0.9467718,1.0017047,0.99620485,1.0095174,1.005296,1.0513324,1.0590818,1.0449915,1.038971,-0.0060205963,-0.010055451,-0.0041204775,0.0,0
0.9467718,1.0017047,0.99620485,1.0095174,1.005296,1.0513324,1.0590818,1.0449915,1.038971,1.0665033,0.027532373,0.010755888,0.0024738235,0.0,0
1.0017047,0.99620485,1.0095174,1.005296,1.0513324,1.0590818,1.0449915,1.038971,1.0665033,1.0480537,-0.018449478,0.0045414474,0.0010207662,0.0,0
0.99620485,1.0095174,1.005296,1.0513324,1.0590818,1.0449915,1.038971,1.0665033,1.0480537,1.0506965,0.002642676,-0.007903401,0.003908524,0.0,0
1.0095174,1.005296,1.0513324,1.0590818,1.0449915,1.038971,1.0665033,1.0480537,1.0506965,1.0541823,0.003485772,0.003064224,-0.0041070096,0.0,0
1.005296,1.0513324,1.0590818,1.0449915,1.038971,1.0665033,1.0480537,1.0506965,1.0541823,1.0504875,-0.0036947727,-0.00010450028,0.00081122515,0.0,0
1.0513324,1.0590818,1.0449915,1.038971,1.0665033,1.0480537,1.0506965,1.0541823,1.0504875,1.024821,-0.025666445,-0.014680609,-0.008625149,0.0,0
1.0590818,1.0449915,1.038971,1.0665033,1.0480537,1.0506965,1.0541823,1.0504875,1.024821,1.0187913,-0.0060296436,-0.015848044,-0.011796954,0.0,0
1.0449915,1.038971,1.0665033,1.0480537,1.0506965,1.0541823,1.0504875,1.024821,1.0187913,1.027705,0.008913554,0.0014419552,-0.0075941784,0.0,0
1.038971,1.0665033,1.0480537,1.0506965,1.0541823,1.0504875,1.024821,1.0187913,1.027705,1.0194794,-0.00822559,0.00034398216,-0.0017805598,0.0,0
1.0665033,1.0480537,1.0506965,1.0541823,1.0504875,1.024821,1.0187913,1.027705,1.0194794,1.0182298,-0.0012494555,-0.0047375225,-0.00018716374,0.0,0
1.0480537,1.0506965,1.0541823,1.0504875,1.024821,1.0187913,1.027705,1.0194794,1.0182298,1.0237999,0.005569982,0.002160263,-0.0013016878,0.0,0
